dataset,original_label,n_images,n_components,singleton_component
HK,0,7,7,False
HK,1,113,113,False
HK,2,182,182,False
HK,3,157,157,False
HK,4,165,165,False
HK,5,1,1,True
HK,6,1,1,True
HK,7,21,21,False
HK,8,153,153,False
HK,9,164,164,False
HK,10,150,150,False
HK,11,61,61,False
HK,12,41,41,False
HK,13,160,160,False
HK,14,60,60,False
HK,15,123,123,False
HK,16,8,8,False
HK,17,5,5,False
HK,18,33,33,False
HK,19,2,2,False
HK,20,66,66,False
HK,21,4,4,False
HK,22,21,21,False
ISIC,0,44,44,False
ISIC,1,37,36,False
ISIC,2,46,45,False
ISIC,3,40,37,False
ISIC,4,41,38,False
ISIC,5,37,34,False
ISIC,6,26,24,False
ISIC,7,24,20,False
