legacy_id,legacy_class_name,official_name_sorted_id,official_class_name,whitelist_count
0,barretts,0,barretts,41
1,barretts-short-segment,16,short-segment-barretts,53
2,bbps-0-1,1,bbps-0-1,646
3,bbps-2-3,2,bbps-2-3,1148
4,cecum,8,normal-cecum,1009
5,dyed-lifted-polyps,3,dyed-lifted-polyps,1002
6,dyed-resection-margins,4,dyed-resection-margins,989
7,esophagitis-a,11,oesophagitis-a,403
8,esophagitis-b-d,12,oesophagitis-b-d,260
9,hemorrhoids,5,hemorroids,6
10,ileum,6,ileum,9
11,impacted-stool,7,impacted-stool,131
12,polyps,13,polyp,1028
13,pylorus,9,normal-pylorus,999
14,retroflex-rectum,14,retroflex-rectum,391
15,retroflex-stomach,15,retroflex-stomach,764
16,ulcerative-colitis-grade-0-1,17,ulcerative-colitis-grade-0-1,35
17,ulcerative-colitis-grade-1,18,ulcerative-colitis-grade-1,201
18,ulcerative-colitis-grade-1-2,19,ulcerative-colitis-grade-1-2,11
19,ulcerative-colitis-grade-2,20,ulcerative-colitis-grade-2,443
20,ulcerative-colitis-grade-2-3,21,ulcerative-colitis-grade-2-3,28
21,ulcerative-colitis-grade-3,22,ulcerative-colitis-grade-3,133
22,z-line,10,normal-z-line,932
