dataset,seed,task,method,n_images,balanced_accuracy,accuracy,macro_f1,zero_recall_classes,head_recall,mid_recall,tail_recall,old_macro_recall,current_macro_recall,restricted_current_BA,restricted_current_accuracy,HM,restricted_old_BA,restricted_old_accuracy
ISIC,1994,1,F1,64,73.75,79.6875,75.2895752895753,[],,97.5,50.0,,73.75,73.75,79.6875,,,
ISIC,1994,2,F1,142,60.45457042408262,61.267605633802816,61.576153660804714,[],,62.55053834322127,54.166666666666664,65.83333333333333,55.07580751483191,65.0955833882663,65.38461538461539,59.97601123110544,78.75,82.8125
ISIC,1994,3,F1,223,53.888980443858486,54.7085201793722,54.60184279191128,[],61.82432432432432,49.8950780048341,50.0,49.921308503625575,61.82432432432432,83.72235872235872,83.9506172839506,55.23886866119813,58.671308503625575,58.45070422535211
ISIC,1995,1,F1,77,85.74324324324324,85.71428571428571,85.70464135021098,[],86.48648648648648,85.0,,,85.74324324324324,85.74324324324326,85.71428571428571,,,
ISIC,1995,2,F1,147,78.84296446796446,78.2312925170068,79.31165509682134,[],72.2051597051597,82.5,88.46153846153847,73.68243243243244,84.0034965034965,94.66783216783216,94.28571428571428,78.5051906276547,86.89189189189189,87.01298701298701
ISIC,1995,3,F1,225,65.09464414952221,64.0,65.46344308105586,[],69.28746928746929,53.22841133816743,92.3076923076923,70.84565772065773,53.59261700725115,62.65655899802242,62.82051282051282,61.02309292140117,81.3219381969382,80.27210884353741
HK,1993,1,C0,172,100.0,100.0,100.0,[],100.0,,100.0,,100.0,100.0,100.0,,,
HK,1993,1,P,172,100.0,100.0,100.0,[],100.0,,100.0,,100.0,100.0,100.0,,,
HK,1993,1,C2,172,100.0,100.0,100.0,[],100.0,,100.0,,100.0,100.0,100.0,,,
HK,1993,1,C3,172,100.0,100.0,100.0,[],100.0,,100.0,,100.0,100.0,100.0,,,
HK,1993,2,C0,366,93.37979094076655,98.36065573770492,89.74358974358974,[],100.0,87.8048780487805,85.71428571428571,92.85714285714286,93.90243902439025,100.0,100.0,93.3768656716418,100.0,100.0
HK,1993,2,P,366,96.95121951219512,98.63387978142076,91.79767600820232,[],100.0,87.8048780487805,100.0,100.0,93.90243902439025,100.0,100.0,96.85534591194968,100.0,100.0
HK,1993,2,C2,366,96.95121951219512,98.63387978142076,91.79767600820232,[],100.0,87.8048780487805,100.0,100.0,93.90243902439025,100.0,100.0,96.85534591194968,100.0,100.0
HK,1993,2,C3,366,96.95121951219512,98.63387978142076,91.79767600820232,[],100.0,87.8048780487805,100.0,100.0,93.90243902439025,100.0,100.0,96.85534591194968,100.0,100.0
HK,1993,3,C0,609,83.27240532358485,95.89490968801314,83.45543345543346,[],100.0,78.38864454218313,42.857142857142854,79.00696864111498,91.80327868852459,100.0,100.0,84.92580361994733,93.98954703832753,98.63387978142076
HK,1993,3,P,609,85.43534966965596,94.58128078817734,81.78210678210678,[],100.0,70.59176329468212,71.42857142857143,86.75958188153311,82.78688524590163,100.0,100.0,84.72669081108397,97.5609756097561,98.90710382513662
HK,1993,3,C2,609,85.43534966965596,94.58128078817734,81.78210678210678,[],100.0,70.59176329468212,71.42857142857143,86.75958188153311,82.78688524590163,100.0,100.0,84.72669081108397,97.5609756097561,98.90710382513662
HK,1993,3,C3,609,85.43534966965596,94.58128078817734,81.78210678210678,[],100.0,70.59176329468212,71.42857142857143,86.75958188153311,82.78688524590163,100.0,100.0,84.72669081108397,97.5609756097561,98.90710382513662
HK,1994,1,C0,29,100.0,100.0,100.0,[],,100.0,100.0,,100.0,100.0,100.0,,,
HK,1994,1,P,29,100.0,100.0,100.0,[],,100.0,100.0,,100.0,100.0,100.0,,,
HK,1994,1,C2,29,100.0,100.0,100.0,[],,100.0,100.0,,100.0,100.0,100.0,,,
HK,1994,1,C3,29,100.0,100.0,100.0,[],,100.0,100.0,,100.0,100.0,100.0,,,
HK,1994,2,C0,230,93.6547256097561,95.65217391304348,88.56150793650795,[],96.875,95.1219512195122,87.5,93.75,93.5594512195122,99.6875,99.50248756218906,93.65462868769073,100.0,100.0
HK,1994,2,P,230,96.9359756097561,96.52173913043478,91.43459915611814,[],97.5,95.1219512195122,100.0,100.0,93.8719512195122,99.6875,99.50248756218906,96.8391256486869,100.0,100.0
HK,1994,2,C2,230,96.7797256097561,96.08695652173913,90.40184850311432,[],96.875,95.1219512195122,100.0,100.0,93.5594512195122,99.6875,99.50248756218906,96.6725733412089,100.0,100.0
HK,1994,2,C3,230,96.7797256097561,96.08695652173913,90.40184850311432,[],96.875,95.1219512195122,100.0,100.0,93.5594512195122,99.6875,99.50248756218906,96.6725733412089,100.0,100.0
HK,1994,3,C0,399,80.778175922993,93.48370927318295,72.41480868775552,[],98.13446969696969,62.9500580720093,81.25,77.56877903600466,87.19696969696969,100.0,100.0,82.10155966328956,93.20121951219512,95.65217391304348
HK,1994,3,P,399,81.08255903987612,95.73934837092732,76.66662348662966,[],98.75,81.99767711962835,62.5,90.37383855981417,62.5,100.0,100.0,73.89576873584396,96.32621951219512,96.08695652173913
HK,1994,3,C2,399,81.08255903987612,95.73934837092732,76.66662348662966,[],98.75,81.99767711962835,62.5,90.37383855981417,62.5,100.0,100.0,73.89576873584396,96.32621951219512,96.08695652173913
HK,1994,3,C3,399,81.08255903987612,95.73934837092732,76.66662348662966,[],98.75,81.99767711962835,62.5,90.37383855981417,62.5,100.0,100.0,73.89576873584396,96.32621951219512,96.08695652173913
HK,1995,1,C0,324,98.4375,98.4567901234568,98.45559845559846,[],98.4375,,,,98.4375,98.4375,98.4567901234568,,,
HK,1995,1,P,324,98.4375,98.4567901234568,98.45559845559846,[],98.4375,,,,98.4375,98.4375,98.4567901234568,,,
HK,1995,1,C2,324,98.4375,98.4567901234568,98.45559845559846,[],98.4375,,,,98.4375,98.4375,98.4567901234568,,,
HK,1995,1,C3,324,98.4375,98.4567901234568,98.45559845559846,[],98.4375,,,,98.4375,98.4375,98.4567901234568,,,
HK,1995,2,C0,392,98.75381097560975,97.95918367346938,97.10866303890656,[],97.5076219512195,100.0,100.0,97.5076219512195,100.0,100.0,100.0,98.73808513101531,98.4375,98.4567901234568
HK,1995,2,P,392,98.75381097560975,97.95918367346938,97.10866303890656,[],97.5076219512195,100.0,100.0,97.5076219512195,100.0,100.0,100.0,98.73808513101531,98.4375,98.4567901234568
HK,1995,2,C2,392,98.91006097560975,98.21428571428571,97.26422518823097,[],97.8201219512195,100.0,100.0,97.8201219512195,100.0,100.0,100.0,98.89805039685596,98.75,98.76543209876543
HK,1995,2,C3,392,98.91006097560975,98.21428571428571,97.26422518823097,[],97.8201219512195,100.0,100.0,97.8201219512195,100.0,100.0,100.0,98.89805039685596,98.75,98.76543209876543
HK,1995,3,C0,516,82.37212059620596,98.06201550387597,80.23891740453503,[5],98.07757452574526,100.0,50.0,98.76143292682927,49.59349593495935,100.0,100.0,66.0298213206048,98.9138719512195,98.21428571428571
HK,1995,3,P,516,82.57537262872629,98.44961240310077,81.36209729964085,[5],98.4840785907859,100.0,50.0,99.06631097560975,49.59349593495935,100.0,100.0,66.09782149947114,99.06631097560977,98.46938775510205
HK,1995,3,C2,516,82.57537262872629,98.44961240310077,81.36209729964085,[5],98.4840785907859,100.0,50.0,99.06631097560975,49.59349593495935,100.0,100.0,66.09782149947114,99.06631097560977,98.46938775510205
HK,1995,3,C3,516,82.57537262872629,98.44961240310077,81.36209729964085,[5],98.4840785907859,100.0,50.0,99.06631097560975,49.59349593495935,100.0,100.0,66.09782149947114,99.06631097560977,98.46938775510205
ISIC,1993,1,C0,85,97.5609756097561,97.6470588235294,97.63888888888889,[],100.0,95.1219512195122,,,97.5609756097561,97.5609756097561,97.6470588235294,,,
ISIC,1993,1,P,85,95.28824833702882,95.29411764705881,95.28824833702882,[],95.45454545454545,95.1219512195122,,,95.28824833702882,95.28824833702882,95.29411764705881,,,
ISIC,1993,1,C2,85,97.5609756097561,97.6470588235294,97.63888888888889,[],100.0,95.1219512195122,,,97.5609756097561,97.5609756097561,97.6470588235294,,,
ISIC,1993,1,C3,85,97.5609756097561,97.6470588235294,97.63888888888889,[],100.0,95.1219512195122,,,97.5609756097561,97.5609756097561,97.6470588235294,,,
ISIC,1993,2,C0,149,69.31217664449372,71.14093959731544,70.8650194876111,[],79.54545454545455,71.76829268292683,54.166666666666664,69.04101995565411,69.58333333333333,81.25,85.9375,69.31111585036689,95.28824833702882,95.29411764705881
ISIC,1993,2,P,149,67.86446784922394,70.46979865771812,68.25787558647984,[],90.9090909090909,65.27439024390245,50.0,84.47893569844788,51.25,78.33333333333333,81.25,63.79694104674195,96.42461197339246,96.47058823529412
ISIC,1993,2,C2,149,72.4630450849963,74.49664429530202,73.79040332019868,[],90.9090909090909,70.3048780487805,58.333333333333336,83.25942350332593,61.66666666666667,82.91666666666666,85.9375,70.85447637504143,97.5609756097561,97.6470588235294
ISIC,1993,2,C3,149,72.4630450849963,74.49664429530202,73.79040332019868,[],90.9090909090909,70.3048780487805,58.333333333333336,83.25942350332593,61.66666666666667,82.91666666666666,85.9375,70.85447637504143,97.5609756097561,97.6470588235294
ISIC,1993,3,C0,212,65.42391039342259,64.62264150943396,65.38976988088699,[],77.27272727272727,57.44067237969677,71.47435897435898,58.06310051736881,80.14553014553015,96.15384615384616,96.82539682539682,67.34019359772046,68.2289356984479,69.12751677852349
ISIC,1993,3,P,212,64.73147119488583,64.62264150943396,65.14766504661486,[],88.63636363636364,52.37475280158207,71.31410256410257,62.81966001478197,68.55509355509355,96.72557172557173,96.82539682539682,65.5621807445972,69.28122690317812,71.14093959731544
ISIC,1993,3,C2,212,68.6007250641397,68.39622641509435,69.83270701957103,[],88.63636363636364,57.442320369149634,75.32051282051282,66.98632668144863,71.82952182952184,98.64864864864865,98.4126984126984,69.32343628277201,71.66019955654102,73.15436241610739
ISIC,1993,3,C3,212,68.6007250641397,68.39622641509435,69.83270701957103,[],88.63636363636364,57.442320369149634,75.32051282051282,66.98632668144863,71.82952182952184,98.64864864864865,98.4126984126984,69.32343628277201,71.66019955654102,73.15436241610739
ISIC,1994,1,C0,64,73.75,79.6875,75.2895752895753,[],,97.5,50.0,,73.75,73.75,79.6875,,,
ISIC,1994,1,P,64,75.83333333333333,81.25,77.54385964912281,[],,97.5,54.166666666666664,,75.83333333333333,75.83333333333333,81.25,,,
ISIC,1994,1,C2,64,73.75,79.6875,75.2895752895753,[],,97.5,50.0,,73.75,73.75,79.6875,,,
ISIC,1994,1,C3,64,73.75,79.6875,75.2895752895753,[],,97.5,50.0,,73.75,73.75,79.6875,,,
ISIC,1994,2,C0,142,57.81215666886399,57.74647887323944,58.66103571171431,[],,57.63843111404086,58.333333333333336,60.41666666666667,55.207646671061305,65.22742254449571,65.38461538461539,57.6948202344613,78.33333333333333,81.25
ISIC,1994,2,P,142,58.55938255328499,59.154929577464785,59.347576590362586,[],,60.02362118215777,54.166666666666664,65.83333333333333,51.28543177323665,62.65655899802242,62.82051282051282,57.655849120321946,77.5,81.25
ISIC,1994,2,C2,142,59.794138650845966,60.56338028169014,60.740133131904436,[],,61.669962645572404,54.166666666666664,67.08333333333333,52.5049439683586,63.87607119314437,64.1025641025641,58.90555056649448,78.75,82.8125
ISIC,1994,2,C3,142,59.11846297517029,59.859154929577464,60.079658713379644,[],,60.7690617446715,54.166666666666664,67.08333333333333,51.15359261700725,62.52471984179302,62.82051282051282,58.04537756953333,78.75,82.8125
ISIC,1994,3,C0,223,53.932136127258076,54.7085201793722,51.782573959993314,[],79.66830466830467,39.47429136453527,45.833333333333336,41.064051856734785,79.66830466830467,83.507371007371,83.9506172839506,54.1943102644387,61.155103274005704,59.859154929577464
ISIC,1994,3,P,223,55.54548450889914,56.502242152466366,56.34278510510996,[],61.82432432432432,53.2080861349154,50.0,52.40606460118655,61.82432432432432,82.5859950859951,82.71604938271605,56.7269281833229,61.57273126785322,61.267605633802816
ISIC,1994,3,C2,223,57.72163793505257,58.29596412556054,58.47302595767844,[],66.58476658476658,51.608987035816305,58.333333333333336,53.29007361019556,66.58476658476658,84.85872235872236,85.18518518518519,59.20019758689984,60.99840694352889,60.56338028169014
ISIC,1994,3,C3,223,56.90862980497127,57.399103139013455,57.72160808767951,[],66.58476658476658,49.982970775653705,58.333333333333336,52.07056141507361,66.58476658476658,84.85872235872236,85.18518518518519,58.439957753352616,59.77889474840694,59.154929577464785
ISIC,1995,1,C0,77,85.74324324324324,85.71428571428571,85.70464135021098,[],86.48648648648648,85.0,,,85.74324324324324,85.74324324324326,85.71428571428571,,,
ISIC,1995,1,P,77,82.9391891891892,83.11688311688312,83.0137451213304,[],78.37837837837837,87.5,,,82.9391891891892,82.9391891891892,83.11688311688312,,,
ISIC,1995,1,C2,77,85.74324324324324,85.71428571428571,85.70464135021098,[],86.48648648648648,85.0,,,85.74324324324324,85.74324324324326,85.71428571428571,,,
ISIC,1995,1,C3,77,85.74324324324324,85.71428571428571,85.70464135021098,[],86.48648648648648,85.0,,,85.74324324324324,85.74324324324326,85.71428571428571,,,
ISIC,1995,2,C0,147,70.54337554337555,69.38775510204081,70.92151089538442,[],65.50982800982801,55.0,96.15384615384616,46.41891891891892,94.66783216783217,98.07692307692308,98.57142857142858,62.293282562392,80.23648648648648,80.51948051948052
ISIC,1995,2,P,147,80.81671706671708,79.59183673469387,81.04721365590932,[],73.55651105651106,80.0,96.15384615384616,73.78378378378378,87.84965034965035,94.66783216783216,94.28571428571428,80.20468836328237,81.58783783783784,81.81818181818183
ISIC,1995,2,C2,147,78.84296446796446,78.2312925170068,79.5499504149486,[],72.2051597051597,82.5,88.46153846153847,73.68243243243244,84.0034965034965,94.66783216783216,94.28571428571428,78.5051906276547,86.89189189189189,87.01298701298701
ISIC,1995,2,C3,147,78.84296446796446,78.2312925170068,79.5499504149486,[],72.2051597051597,82.5,88.46153846153847,73.68243243243244,84.0034965034965,94.66783216783216,94.28571428571428,78.5051906276547,86.89189189189189,87.01298701298701
ISIC,1995,3,C0,225,57.08402479743944,55.55555555555556,54.71687907739358,[],54.20761670761671,45.97835640518567,96.15384615384616,55.517269892269894,60.21753460777851,64.00791034937376,64.1025641025641,57.77195780489255,72.30036855036856,70.74829931972789
ISIC,1995,3,P,225,61.31495536983343,60.0,61.50821271590281,[],65.44840294840296,48.22841133816743,92.3076923076923,65.17612455112456,53.59261700725115,62.52471984179302,62.82051282051282,58.819501415168276,77.63489888489889,76.19047619047619
ISIC,1995,3,C2,225,65.06086036573842,64.0,65.55336518168912,[],67.93611793611794,54.06174467150077,92.3076923076923,70.79498204498205,53.59261700725115,62.65655899802242,62.82051282051282,61.0042864028386,81.9469381969382,80.95238095238095
ISIC,1995,3,C3,225,65.06086036573842,64.0,65.55336518168912,[],67.93611793611794,54.06174467150077,92.3076923076923,70.79498204498205,53.59261700725115,62.65655899802242,62.82051282051282,61.0042864028386,81.9469381969382,80.95238095238095
