candidate,changed,class_id,comparator,corrections,dataset,destructions,n,seed,task,wrong_to_different_wrong
B.J,0,0,G.J,0,ISIC,0,44,1993,1,0
B.J,0,4,G.J,0,ISIC,0,41,1993,1,0
B.J,2,0,G.J,2,ISIC,0,44,1993,2,0
B.J,2,3,G.J,0,ISIC,2,40,1993,2,0
B.J,3,4,G.J,1,ISIC,2,41,1993,2,0
B.J,1,7,G.J,1,ISIC,0,24,1993,2,0
B.J,2,0,G.J,1,ISIC,1,44,1993,3,0
B.J,6,3,G.J,2,ISIC,4,40,1993,3,0
B.J,6,4,G.J,2,ISIC,3,41,1993,3,1
B.J,3,5,G.J,0,ISIC,1,37,1993,3,2
B.J,2,6,G.J,0,ISIC,2,26,1993,3,0
B.J,3,7,G.J,1,ISIC,0,24,1993,3,2
B.J,3,0,G.J,2,ISIC,1,44,1993,4,0
B.J,6,1,G.J,2,ISIC,0,37,1993,4,4
B.J,11,2,G.J,4,ISIC,3,46,1993,4,4
B.J,7,3,G.J,2,ISIC,3,40,1993,4,2
B.J,6,4,G.J,2,ISIC,2,41,1993,4,2
B.J,5,5,G.J,2,ISIC,1,37,1993,4,2
B.J,0,6,G.J,0,ISIC,0,26,1993,4,0
B.J,4,7,G.J,2,ISIC,0,24,1993,4,2
B.J,0,3,G.J,0,ISIC,0,40,1994,1,0
B.J,2,7,G.J,1,ISIC,1,24,1994,1,0
B.J,6,3,G.J,1,ISIC,4,40,1994,2,1
B.J,6,4,G.J,3,ISIC,1,41,1994,2,2
B.J,3,5,G.J,1,ISIC,1,37,1994,2,1
B.J,9,7,G.J,4,ISIC,3,24,1994,2,2
B.J,6,0,G.J,2,ISIC,3,44,1994,3,1
B.J,8,1,G.J,3,ISIC,3,37,1994,3,2
B.J,10,3,G.J,1,ISIC,7,40,1994,3,2
B.J,6,4,G.J,2,ISIC,1,41,1994,3,3
B.J,5,5,G.J,2,ISIC,1,37,1994,3,2
B.J,6,7,G.J,3,ISIC,2,24,1994,3,1
B.J,5,0,G.J,3,ISIC,2,44,1994,4,0
B.J,7,1,G.J,2,ISIC,2,37,1994,4,3
B.J,9,2,G.J,6,ISIC,1,46,1994,4,2
B.J,14,3,G.J,1,ISIC,9,40,1994,4,4
B.J,7,4,G.J,3,ISIC,2,41,1994,4,2
B.J,5,5,G.J,3,ISIC,0,37,1994,4,2
B.J,2,6,G.J,0,ISIC,2,26,1994,4,0
B.J,7,7,G.J,4,ISIC,2,24,1994,4,1
B.J,0,1,G.J,0,ISIC,0,37,1995,1,0
B.J,2,3,G.J,0,ISIC,2,40,1995,1,0
B.J,3,0,G.J,1,ISIC,2,44,1995,2,0
B.J,0,1,G.J,0,ISIC,0,37,1995,2,0
B.J,2,3,G.J,0,ISIC,2,40,1995,2,0
